,question,questiontype,keyword
126,"(who,PRON) (directed,VERB) (the,DET,B-LOC)  (haunted,PROPN,I-LOC)  (house,PROPN,E-LOC)  (?,.)",Who,"Directed, Haunted House"
127,"(who,PRON) (directed,VERB) (the,DET,B-LOC)  (haunted,PROPN,I-LOC)  (house,PROPN,E-LOC)  (?,.)",who,"directed, the haunted house"
128,"(where,ADV) (did,VERB) (the,DET) (architect,NOUN) (of,ADP) (the,DET) (eiffel,NOUN) (tower,NOUN) (study,NOUN) (?,.)",Where,"architect, eiffel tower, study"
129,"(where,ADV) (did,VERB) (the,DET) (architect,NOUN) (of,ADP) (the,DET) (eiffel,NOUN) (tower,NOUN) (study,NOUN) (?,.)",where,"architect, eiffel tower, study"
130,"(count,VERB) (all,DET) (the,DET) (different,ADJ) (purposes,NOUN) (followed,VERB) (by,ADP) (the,DET) (different,ADJ) (?,.)",Count,"different purposes, NGOs"
131,"(count,VERB) (all,DET) (the,DET) (different,ADJ) (purposes,NOUN) (followed,VERB) (by,ADP) (the,DET) (different,ADJ) (?,.)",How many,"different purpose, different NGOs"
132,"(where,ADV) (do,VERB) (i,PRON) (find,VERB) (buildings,NOUN) (rented,VERB) (by,ADP) (weber,PROPN,B-PER)  (thompson,PROPN,E-PER)  (?,.)",where,"buildings, rented, weber thompson"
133,"(where,ADV) (do,VERB) (i,PRON) (find,VERB) (buildings,NOUN) (rented,VERB) (by,ADP) (weber,PROPN,B-PER)  (thompson,PROPN,E-PER)  (?,.)",Where,"buildings, rented, Weber Thompson"
134,"(give,VERB) (me,PRON) (all,DET) (artists,NOUN) (who,PRON) (were,VERB) (in,ADP) (a,DET) (band,NOUN) (as,ADV) (well,ADV) (as,ADV) (released,VERB) (a,DET) (solo,ADJ) (?,.)",List,"artists, band, released, solo, album"
135,"(give,VERB) (me,PRON) (all,DET) (artists,NOUN) (who,PRON) (were,VERB) (in,ADP) (a,DET) (band,NOUN) (as,ADV) (well,ADV) (as,ADV) (released,VERB) (a,DET) (solo,ADJ) (?,.)",Give me,"artists, band, released, solo album"
136,"(which,PRON) (greek,NOUN) (parties,NOUN) (are,VERB) (pro-european,ADJ) (?,.)",which,"greek, parties, pro-european"
137,"(which,PRON) (greek,NOUN) (parties,NOUN) (are,VERB) (pro-european,ADJ) (?,.)",which,"greek parties,  pro-european"
138,"(how,ADV) (many,ADJ) (cars,NOUN) (can,AUX) (i,PRON) (find,VERB) (related,VERB) (to,ADP) (the,DET) (cars,NOUN) (which,PRON) (have,VERB) (a,DET) (v8,PROPN) (engine,NOUN) (?,.)",HOW MANY,"CARS, V8 ENGINE"
139,"(how,ADV) (many,ADJ) (cars,NOUN) (can,AUX) (i,PRON) (find,VERB) (related,VERB) (to,ADP) (the,DET) (cars,NOUN) (which,PRON) (have,VERB) (a,DET) (v8,PROPN) (engine,NOUN) (?,.)",how many,"cars, find, reated, cars, v8 engine"
140,"(what,PRON) (is,VERB) (the,DET) (field,NOUN) (of,ADP) (interest,NOUN) (of,ADP) (the,DET) (advisor,NOUN) (of,ADP) (henri,PROPN,B-PER)  (maspero,PROPN,E-PER)  (?,.)",what,"field, interest, advisor, henri maspero"
141,"(what,PRON) (is,VERB) (the,DET) (field,NOUN) (of,ADP) (interest,NOUN) (of,ADP) (the,DET) (advisor,NOUN) (of,ADP) (henri,PROPN,B-PER)  (maspero,PROPN,E-PER)  (?,.)",What,"field , interest , advisor , Henri Maspero"
142,"(what,PRON) (is,VERB) (the,DET) (height,NOUN) (difference,NOUN) (between,ADP) (mount,NOUN) (everest,NOUN) (and,CCONJ) (k2,NOUN) (?,.)",WHAT,"HEIGHT, DIFFERENCE, BETWEEN, MOUNT, K2"
143,"(what,PRON) (is,VERB) (the,DET) (height,NOUN) (difference,NOUN) (between,ADP) (mount,NOUN) (everest,NOUN) (and,CCONJ) (k2,NOUN) (?,.)",what is,"height diffrence,mount evrest,k2"
144,"(what,PRON) (products,NOUN) (do,VERB) (us,PROPN,S-LOC)  (companies,NOUN) (make,VERB) (?,.)",what,"products, us, companies"
145,"(what,PRON) (products,NOUN) (do,VERB) (us,PROPN,S-LOC)  (companies,NOUN) (make,VERB) (?,.)",What,"products, US, companies"
146,"(what,PRON) (is,VERB) (the,DET) (common,ADJ) (ideology,NOUN) (followed,VERB) (by,ADP) (katyayana,PROPN,S-PER)  (and,CCONJ) (palang,PROPN,B-ORG)  (dharma,PROPN,I-ORG)  (party,PROPN,E-ORG)  (?,.)",What,"ideology, followed, Katyayana, Palang Dharma, Party"
147,"(what,PRON) (is,VERB) (the,DET) (common,ADJ) (ideology,NOUN) (followed,VERB) (by,ADP) (katyayana,PROPN,S-PER)  (and,CCONJ) (palang,PROPN,B-ORG)  (dharma,PROPN,I-ORG)  (party,PROPN,E-ORG)  (?,.)",What,"common ideology, followed,Katyayana , Palang Dharma Party"
148,"(on,ADP) (which,PRON) (albums,NOUN) (does,VERB) (the,DET) (song,NOUN) (because,ADP) (you,PRON) (loved,VERB) (me,PRON) (appear,VERB) (?,.)",Which,"album, song, because you love me, appear"
149,"(on,ADP) (which,PRON) (albums,NOUN) (does,VERB) (the,DET) (song,NOUN) (because,ADP) (you,PRON) (loved,VERB) (me,PRON) (appear,VERB) (?,.)",Which,"because you loved me, album"
150,"(name,VERB) (the,DET) (actor,NOUN) (of,ADP) (soylent,PROPN,B-PER)  (green,PROPN,E-PER)  (to,ADP) (which,PRON) (lydia,PROPN,B-PER)  (clarke,PROPN,E-PER)  (is,VERB) (married,ADJ) (?,.)",which,"name. actor, soylent green, lydia clarke, married"
151,"(name,VERB) (the,DET) (actor,NOUN) (of,ADP) (soylent,PROPN,B-PER)  (green,PROPN,E-PER)  (to,ADP) (which,PRON) (lydia,PROPN,B-PER)  (clarke,PROPN,E-PER)  (is,VERB) (married,ADJ) (?,.)",Name,"Actor, Soylent Green, Lydia Clarke, married"
152,"(who,PRON) (is,VERB) (the,DET) (mayor,NOUN) (of,ADP) (rotterdam,PROPN) (?,.)",who,"mayor, rotterdam"
153,"(who,PRON) (is,VERB) (the,DET) (mayor,NOUN) (of,ADP) (rotterdam,PROPN) (?,.)",who,"mayor , rotterdam"
154,"(count,VERB) (the,DET) (tenants,NOUN) (of,ADP) (mastercard,PROPN,B-LOC)  (centre,PROPN,E-LOC)  (?,.)",Count,"tenants, MasterCard Centre"
155,"(count,VERB) (the,DET) (tenants,NOUN) (of,ADP) (mastercard,PROPN,B-LOC)  (centre,PROPN,E-LOC)  (?,.)",Count,"tenants, MasterCard, Centre"
156,"(count,VERB) (the,DET) (cities,NOUN) (whihch,ADJ) (are,VERB) (on,ADP) (the,DET) (same,ADJ) (sea,NOUN) (as,ADP) (that,DET) (of,ADP) (miami,PROPN,S-LOC)  (?,.)",Count,"cities, same sea, Miami"
157,"(count,VERB) (the,DET) (cities,NOUN) (whihch,ADJ) (are,VERB) (on,ADP) (the,DET) (same,ADJ) (sea,NOUN) (as,ADP) (that,DET) (of,ADP) (miami,PROPN,S-LOC)  (?,.)",which,"count, cities, sea, miami"
158,"(how,ADV) (many,ADJ) (characters,NOUN) (are,VERB) (there,ADV) (in,ADP) (the,DET,B-ORG)  (office,PROPN,E-ORG)  (?,.)",HOW MANY,"CHARACTERS, OFFICE"
159,"(how,ADV) (many,ADJ) (characters,NOUN) (are,VERB) (there,ADV) (in,ADP) (the,DET,B-ORG)  (office,PROPN,E-ORG)  (?,.)",how many,"characters, office"
160,"(in,ADP) (which,PRON) (city,NOUN) (were,VERB) (the,DET) (parents,NOUN) (of,ADP) (che,X) (guevara,X) (born,VERB) (?,.)",which,"city,parents,che guevara born"
161,"(in,ADP) (which,PRON) (city,NOUN) (were,VERB) (the,DET) (parents,NOUN) (of,ADP) (che,X) (guevara,X) (born,VERB) (?,.)",which,"city, parents, che guevara born"
162,"(who,PRON) (are,VERB) (starring,VERB) (in,ADP) (the,DET) (movies,NOUN) (written,VERB) (by,ADP) (mark,PROPN,B-PER)  (sandrich,PROPN,E-PER)  (?,.)",Who,"starring, movies, written, Mark Sandrich"
163,"(who,PRON) (are,VERB) (starring,VERB) (in,ADP) (the,DET) (movies,NOUN) (written,VERB) (by,ADP) (mark,PROPN,B-PER)  (sandrich,PROPN,E-PER)  (?,.)",Who,"starring, movies, written, Mark Sandrich"
164,"(name,VERB) (the,DET) (stock,NOUN) (holders,NOUN) (of,ADP) (soccer,NOUN) (club,NOUN) (whose,PRON) (one,NUM) (of,ADP) (the,DET) (stockholder,NOUN) (is,VERB) (carl,PROPN,B-PER)  (sanders,PROPN,E-PER)  (?,.)",Name,"stock holders, soccer club, stockholder, Carl sanders"
165,"(name,VERB) (the,DET) (stock,NOUN) (holders,NOUN) (of,ADP) (soccer,NOUN) (club,NOUN) (whose,PRON) (one,NUM) (of,ADP) (the,DET) (stockholder,NOUN) (is,VERB) (carl,PROPN,B-PER)  (sanders,PROPN,E-PER)  (?,.)",Name,"soccer club,stockholders,Carl Sanders,"
166,"(what,PRON) (is,VERB) (beyonce,NOUN) (knowles,NOUN) (middle,ADJ) (name,NOUN) (?,.)",what,"beyonce, middle name"
167,"(what,PRON) (is,VERB) (beyonce,NOUN) (knowles,NOUN) (middle,ADJ) (name,NOUN) (?,.)",what,"beyonce knowles, middle, name"
168,"(who,PRON) (are,VERB) (the,DET) (key,ADJ) (people,NOUN) (of,ADP) (fwd.us,PROPN,S-ORG)  (?,.)",Who,"key, people, FWD.us"
169,"(who,PRON) (are,VERB) (the,DET) (key,ADJ) (people,NOUN) (of,ADP) (fwd.us,PROPN,S-ORG)  (?,.)",Who,"key people,  FWD.us"
170,"(are,VERB) (taiko,NOUN) (a,DET) (kind,NOUN) (of,ADP) (japanese,ADJ) (musical,ADJ) (instruments,NOUN) (?,.)",Are,"taiko,japanese,musical instruments"
171,"(are,VERB) (taiko,NOUN) (a,DET) (kind,NOUN) (of,ADP) (japanese,ADJ) (musical,ADJ) (instruments,NOUN) (?,.)",Are,"taiko,japanese,musical,instruments"
172,"(what,PRON) (movie,NOUN) (starred,VERB) (jennifer,PROPN) (grey,PROPN) (and,CCONJ) (charlie,NOUN) (sheen,NOUN) (?,.)",What,"movie, starred, Jennifer Grey, Charlie Sheen"
173,"(what,PRON) (movie,NOUN) (starred,VERB) (jennifer,PROPN) (grey,PROPN) (and,CCONJ) (charlie,NOUN) (sheen,NOUN) (?,.)",what,"movie, starred, jennifer grey, charlie sheen"
174,"(which,PRON) (albums,NOUN) (of,ADP) (elvis,X) (presley,X) (have,VERB) (elvis,X) (in,ADP) (their,PRON) (title,NOUN) (?,.)",Which,"albums, elvis presley, elvis, title"
175,"(which,PRON) (albums,NOUN) (of,ADP) (elvis,X) (presley,X) (have,VERB) (elvis,X) (in,ADP) (their,PRON) (title,NOUN) (?,.)",Which,"albums, elvis presley, elvis, title"
176,"(name,VERB) (the,DET) (person,NOUN) (with,ADP) (opponents,NOUN) (ike,PROPN,B-PER)  (clanton,PROPN,E-PER)  (and,CCONJ) (tom,PROPN,B-PER)  (mclaury,PROPN,E-PER)  (?,.)",Query,"Person, oppenents, Ike Clanton, Tom McLaury"
177,"(name,VERB) (the,DET) (person,NOUN) (with,ADP) (opponents,NOUN) (ike,PROPN,B-PER)  (clanton,PROPN,E-PER)  (and,CCONJ) (tom,PROPN,B-PER)  (mclaury,PROPN,E-PER)  (?,.)",Name,"Person with, opponent, Ike Clanton, Tom McLaury"
178,"(what,PRON) (is,VERB) (the,DET) (mascot,NOUN) (of,ADP) (the,DET) (rival,ADJ) (school,NOUN) (of,ADP) (sullivan,PROPN,B-LOC)  (central,PROPN,E-LOC)  (high,ADJ) (?,.)",what,"mascot, rival school, sullivan central high"
179,"(what,PRON) (is,VERB) (the,DET) (mascot,NOUN) (of,ADP) (the,DET) (rival,ADJ) (school,NOUN) (of,ADP) (sullivan,PROPN,B-LOC)  (central,PROPN,E-LOC)  (high,ADJ) (?,.)",What,"mascot, rival school, Sullivan Central High"
180,"(how,ADV) (many,ADJ) (ethnic,ADJ) (groups,NOUN) (live,VERB) (in,ADP) (slovenia,NOUN) (?,.)",How many,"ethnic groups, slovenia"
181,"(how,ADV) (many,ADJ) (ethnic,ADJ) (groups,NOUN) (live,VERB) (in,ADP) (slovenia,NOUN) (?,.)",How,"Ethnic Groups, Live, Slovenia"
182,"(how,ADV) (many,ADJ) (live,ADJ) (albums,NOUN) (by,ADP) (elvis,PROPN) (presley,NOUN) (are,VERB) (there,ADV) (?,.)",HOW MANY,"ALBUMS, ELVIS, PRESLEY"
183,"(how,ADV) (many,ADJ) (live,ADJ) (albums,NOUN) (by,ADP) (elvis,PROPN) (presley,NOUN) (are,VERB) (there,ADV) (?,.)",How many,"live albums, Elvis Presley"
184,"(who,PRON) (plays,VERB) (dylan,NOUN) (on,ADP) (akeelah,PROPN) (and,CCONJ) (the,DET) (bee,NOUN) (?,.)",WHO,"DYLAN, AKEELAH"
185,"(who,PRON) (plays,VERB) (dylan,NOUN) (on,ADP) (akeelah,PROPN) (and,CCONJ) (the,DET) (bee,NOUN) (?,.)",WHO,"DYLAN, AKEELAH, BEE"
186,"(what,PRON) (award,NOUN) (has,VERB) (been,VERB) (awarded,VERB) (to,ADP) (both,CCONJ) (dion,PROPN,B-PER)  (beebe,PROPN,E-PER)  (and,CCONJ) (charles,PROPN,B-PER)  (lemaire,PROPN,E-PER)  (?,.)",What,"award, awarded, Dion Beebe, Charles LeMaire"
187,"(what,PRON) (award,NOUN) (has,VERB) (been,VERB) (awarded,VERB) (to,ADP) (both,CCONJ) (dion,PROPN,B-PER)  (beebe,PROPN,E-PER)  (and,CCONJ) (charles,PROPN,B-PER)  (lemaire,PROPN,E-PER)  (?,.)",What,"award, awarded, both, Dion Beebe, Charles LeMaire."
188,"(list,VERB) (the,DET) (seven,NUM) (kings,NOUN) (of,ADP) (?,.)",LIST,"SEVEN, KINGS, ROME"
189,"(list,VERB) (the,DET) (seven,NUM) (kings,NOUN) (of,ADP) (?,.)",list,"seven kings, rome"
190,"(what,PRON) (team,NOUN) (is,VERB) (famous,ADJ) (for,ADP) (robert,PROPN,B-PER)  (nederlander,PROPN,E-PER)  (and,CCONJ) (also,ADV) (the,DET) (debuting,VERB) (team,NOUN) (of,ADP) (gary,PROPN,B-PER)  (sanchez,PROPN,E-PER)  (?,.)",what,"team, famous, robert nederlander, debuting, team, gary sanchez"
191,"(what,PRON) (team,NOUN) (is,VERB) (famous,ADJ) (for,ADP) (robert,PROPN,B-PER)  (nederlander,PROPN,E-PER)  (and,CCONJ) (also,ADV) (the,DET) (debuting,VERB) (team,NOUN) (of,ADP) (gary,PROPN,B-PER)  (sanchez,PROPN,E-PER)  (?,.)",What,"famous, Robert Nederlander, debuting team, Gary Sanchez"
192,"(which,PRON) (members,NOUN) (of,ADP) (the,DET) (beatles,NOUN) (have,VERB) (more,ADJ) (than,ADP) (one,NUM) (child,NOUN) (?,.)",Which,"Members, Beatles, child"
193,"(which,PRON) (members,NOUN) (of,ADP) (the,DET) (beatles,NOUN) (have,VERB) (more,ADJ) (than,ADP) (one,NUM) (child,NOUN) (?,.)",Which,"members, beatles."
194,"(who,PRON) (first,ADV) (ascented,VERB) (a,DET) (mountain,NOUN) (of,ADP) (mount,PROPN,B-LOC)  (hoffmann,PROPN,E-LOC)  (?,.)",Who,"first, ascented, mountain,  Mount Hoffmann"
195,"(who,PRON) (first,ADV) (ascented,VERB) (a,DET) (mountain,NOUN) (of,ADP) (mount,PROPN,B-LOC)  (hoffmann,PROPN,E-LOC)  (?,.)",Who,"First, ascended, mountain, Mount Hoffmann"
196,"(list,VERB) (everyone,NOUN) (who,PRON) (got,VERB) (their,PRON) (training,NOUN) (in,ADP) (the,DET) (city,NOUN) (of,ADP) (california,PROPN,S-LOC)  (?,.)",List,"everyone, training ,California"
197,"(list,VERB) (everyone,NOUN) (who,PRON) (got,VERB) (their,PRON) (training,NOUN) (in,ADP) (the,DET) (city,NOUN) (of,ADP) (california,PROPN,S-LOC)  (?,.)",list,"training,california"
198,"(give,VERB) (me,PRON) (all,DET) (songs,NOUN) (which,PRON) (are,VERB) (on,ADP) (live,ADJ) (albums,NOUN) (by,ADP) (?,.)",List,"Live albums, songs, Blondie"
199,"(give,VERB) (me,PRON) (all,DET) (songs,NOUN) (which,PRON) (are,VERB) (on,ADP) (live,ADJ) (albums,NOUN) (by,ADP) (?,.)",Which,"Songs, Live albums, Blondie"
200,"(which,PRON) (country,NOUN) (were,VERB) (the,DET) (adidas,NOUN) (and,CCONJ) (puma,NOUN) (footwear,NOUN) (founded,VERB) (?,.)",which,"country, adidas, puma, footwear, founded"
201,"(which,PRON) (country,NOUN) (were,VERB) (the,DET) (adidas,NOUN) (and,CCONJ) (puma,NOUN) (footwear,NOUN) (founded,VERB) (?,.)",Which,"country, adidas, puma, footwear, founded"
202,"(who,PRON) (were,VERB) (the,DET) (parents,NOUN) (of,ADP) (queen,NOUN) (victoria,NOUN) (?,.)",who,"parents, queen"
203,"(who,PRON) (were,VERB) (the,DET) (parents,NOUN) (of,ADP) (queen,NOUN) (victoria,NOUN) (?,.)",Who,"parents, Queen Victoria"
204,"(give,VERB) (me,PRON) (all,DET) (solo,NOUN) (artists,NOUN) (born,VERB) (in,ADP) (?,.)",give,"solo artists,  born , march."
205,"(give,VERB) (me,PRON) (all,DET) (solo,NOUN) (artists,NOUN) (born,VERB) (in,ADP) (?,.)",in,"solo artists, born, march"
206,"(which,PRON) (country,NOUN) (is,VERB) (located,VERB) (in,ADP) (asia,PROPN,S-LOC)  (and,CCONJ) (africa,PROPN) (?,.)",which,"country, located, asia, africa"
207,"(which,PRON) (country,NOUN) (is,VERB) (located,VERB) (in,ADP) (asia,PROPN,S-LOC)  (and,CCONJ) (africa,PROPN) (?,.)",Which,"Country, Located. Asia, Africa"
208,"(who,PRON) (is,VERB) (the,DET) (heaviest,ADJ) (player,NOUN) (of,ADP) (the,DET) (chicago,NOUN) (bulls,NOUN) (?,.)",who,"heaviest, player, chicago, bulls"
209,"(who,PRON) (is,VERB) (the,DET) (heaviest,ADJ) (player,NOUN) (of,ADP) (the,DET) (chicago,NOUN) (bulls,NOUN) (?,.)",who,"heaviest, player, chicago bulls"
210,"(name,NOUN) (the,DET) (tenants,NOUN) (of,ADP) (mastercard,PROPN,S-ORG)  (center,NOUN) (wich,NOUN) (is,VERB) (also,ADV) (the,DET) (draft,NOUN) (team,NOUN) (of,ADP) (antoine,PROPN,B-PER)  (bibeau,PROPN,E-PER)  (?,.)",List,"tenants, Mastercard center, Draft team, Antoine Bibeau"
211,"(name,NOUN) (the,DET) (tenants,NOUN) (of,ADP) (mastercard,PROPN,S-ORG)  (center,NOUN) (wich,NOUN) (is,VERB) (also,ADV) (the,DET) (draft,NOUN) (team,NOUN) (of,ADP) (antoine,PROPN,B-PER)  (bibeau,PROPN,E-PER)  (?,.)",Name,"tenants , MAsterCard center, draft team, Antoine Bibeau"
212,"(give,VERB) (me,PRON) (the,DET) (titles,NOUN) (of,ADP) (all,DET) (singles,NOUN) (by,ADP) (phil,PROPN) (?,.)",List,"titles ,singles ,phil collins"
213,"(give,VERB) (me,PRON) (the,DET) (titles,NOUN) (of,ADP) (all,DET) (singles,NOUN) (by,ADP) (phil,PROPN) (?,.)",give,"titles, singles, phil collins"
214,"(which,PRON) (volcanos,NOUN) (in,ADP) (japan,PROPN,S-LOC)  (erupted,VERB) (since,ADP) (2000,NUM) (?,.)",which,"volcanos, japan erupted since 2000"
215,"(which,PRON) (volcanos,NOUN) (in,ADP) (japan,PROPN,S-LOC)  (erupted,VERB) (since,ADP) (2000,NUM) (?,.)",which,"volcanoes, japan, erupted, since, 2000"
216,"(who,PRON) (plays,VERB) (bella,NOUN) (in,ADP) (the,DET) (twilight,NOUN) (series,NOUN) (?,.)",WHO,"BELLA, TWILIGHT SERIES"
217,"(who,PRON) (plays,VERB) (bella,NOUN) (in,ADP) (the,DET) (twilight,NOUN) (series,NOUN) (?,.)",Who,"bella, twilight series"
218,"(what,PRON) (is,VERB) (the,DET) (number,NOUN) (of,ADP) (occupation,NOUN) (of,ADP) (the,DET) (people,NOUN) (who,PRON) (died,VERB) (in,ADP) (tampa,NOUN) (bay,,NOUN) (florida,NOUN) (?,.)","What, who","number, occupation, people, died, tampa bay, florida"
219,"(what,PRON) (is,VERB) (the,DET) (number,NOUN) (of,ADP) (occupation,NOUN) (of,ADP) (the,DET) (people,NOUN) (who,PRON) (died,VERB) (in,ADP) (tampa,NOUN) (bay,,NOUN) (florida,NOUN) (?,.)",what,"number,occupation,people,died,tampa bay,florida"
220,"(what,PRON) (is,VERB) (the,DET) (municipality,NOUN) (of,ADP) (the,DET) (brown's,PROPN,B-LOC)  (corners,,PROPN,I-LOC)  (toronto,PROPN,E-LOC)  (and,CCONJ) (also,ADV) (the,DET) (place,NOUN) (of,ADP) (birth,NOUN) (of,ADP) (the,DET) (george,PROPN,B-PER)  (?,.)",What,"municipality, Brown's Corners, Toronto, place of birth, George Karrys"
221,"(what,PRON) (is,VERB) (the,DET) (municipality,NOUN) (of,ADP) (the,DET) (brown's,PROPN,B-LOC)  (corners,,PROPN,I-LOC)  (toronto,PROPN,E-LOC)  (and,CCONJ) (also,ADV) (the,DET) (place,NOUN) (of,ADP) (birth,NOUN) (of,ADP) (the,DET) (george,PROPN,B-PER)  (?,.)",What,"municipality, Brown's Corners, Toronto, place of birth, George Karrys"
222,"(who,PRON) (all,DET) (play,VERB) (for,ADP) (the,DET) (teams,NOUN) (performing,VERB) (in,ADP) (the,DET) (united,ADJ) (center,NOUN) (?,.)",Who,"play, teams, performing, united, center"
223,"(who,PRON) (all,DET) (play,VERB) (for,ADP) (the,DET) (teams,NOUN) (performing,VERB) (in,ADP) (the,DET) (united,ADJ) (center,NOUN) (?,.)",WHO,"TEAMS, UNITED CENTER"
224,"(who,PRON) (was,VERB) (the,DET) (united,PROPN,B-LOC)  (states,PROPN,E-LOC)  (president,NOUN) (who,PRON) (also,ADV) (served,VERB) (as,ADP) (a,DET) (governor,NOUN) (of,ADP) (indiana,PROPN,B-LOC)  (territory,PROPN,E-LOC)  (?,.)",Who,"United States president, served, governator, Indiana Territory"
225,"(who,PRON) (was,VERB) (the,DET) (united,PROPN,B-LOC)  (states,PROPN,E-LOC)  (president,NOUN) (who,PRON) (also,ADV) (served,VERB) (as,ADP) (a,DET) (governor,NOUN) (of,ADP) (indiana,PROPN,B-LOC)  (territory,PROPN,E-LOC)  (?,.)",Who,"United States president, served, governor, Indiana Territory"
226,"(how,ADV) (many,ADJ) (parties,NOUN) (have,VERB) (come,VERB) (in,ADP) (power,NOUN) (in,ADP) (elections,NOUN) (where,ADV) (y.,PROPN,B-PER)  (s.,PROPN,I-PER)  (rajasekhara,PROPN,I-PER)  (reddy,PROPN,E-PER)  (won,VERB) (?,.)",Politics,"Politics, elections, Y. S. Rajasekhara Reddy, win, winning"
227,"(how,ADV) (many,ADJ) (parties,NOUN) (have,VERB) (come,VERB) (in,ADP) (power,NOUN) (in,ADP) (elections,NOUN) (where,ADV) (y.,PROPN,B-PER)  (s.,PROPN,I-PER)  (rajasekhara,PROPN,I-PER)  (reddy,PROPN,E-PER)  (won,VERB) (?,.)",how many,"parties, come, power, elections, y.s.rajasekhara reddy, won"
228,"(when,ADV) (did,VERB) (ronald,PROPN) (reagan,PROPN) (get,VERB) (married,VERB) (to,ADP) (jane,PROPN) (wyman,PROPN) (?,.)",When,"Ronald Reagan, Married, Jane Wyman"
229,"(when,ADV) (did,VERB) (ronald,PROPN) (reagan,PROPN) (get,VERB) (married,VERB) (to,ADP) (jane,PROPN) (wyman,PROPN) (?,.)",when,"ronald reagan, married, jane wyman"
230,"(give,VERB) (me,PRON) (all,DET) (soundtracks,NOUN) (composed,VERB) (by,ADP) (the,DET) (pet,NOUN) (shop,NOUN) (?,.)",give,"soundtracks, composed, pet shop boys"
231,"(give,VERB) (me,PRON) (all,DET) (soundtracks,NOUN) (composed,VERB) (by,ADP) (the,DET) (pet,NOUN) (shop,NOUN) (?,.)",List,"soundtracks, composed, pet shop boys"
232,"(who,PRON) (is,VERB) (the,DET) (tallest,ADJ) (basketball,NOUN) (player,NOUN) (?,.)",who,"tallest, basketball, player"
233,"(who,PRON) (is,VERB) (the,DET) (tallest,ADJ) (basketball,NOUN) (player,NOUN) (?,.)",WHO,"TALLEST, BASKETBALL, PLAYER"
234,"(list,VERB) (the,DET) (people,NOUN) (who,PRON) (were,VERB) (born,VERB) (in,ADP) (gelnhausen,PROPN,S-LOC)  (and,CCONJ) (graduated,VERB) (from,ADP) (pepperdine,PROPN,B-ORG)  (university,PROPN,E-ORG)  (?,.)",list,"people, born, Gelnhausen, graduated, Pepperdine University"
235,"(list,VERB) (the,DET) (people,NOUN) (who,PRON) (were,VERB) (born,VERB) (in,ADP) (gelnhausen,PROPN,S-LOC)  (and,CCONJ) (graduated,VERB) (from,ADP) (pepperdine,PROPN,B-ORG)  (university,PROPN,E-ORG)  (?,.)",List,"people, born, Gelnhausen, graduated, Pepperdine University"
236,"(where,ADV) (did,VERB) (wallace,PROPN,B-PER)  (dollase,PROPN,E-PER)  (die,VERB) (?,.)",WHERE,"WALLACE DOLLASE, DIE"
237,"(where,ADV) (did,VERB) (wallace,PROPN,B-PER)  (dollase,PROPN,E-PER)  (die,VERB) (?,.)",Where,"Wallace Dollase,die"
238,"(in,ADP) (which,PRON) (language,NOUN) (does,VERB) (marco,X) (borsato,X) (sing,VERB) (?,.)",in which,"language, marco borsato, sing"
239,"(in,ADP) (which,PRON) (language,NOUN) (does,VERB) (marco,X) (borsato,X) (sing,VERB) (?,.)",which,"language,marco borsato,sing"
240,"(musical,ADJ) (artists,NOUN) (who,PRON) (are,VERB) (associated,VERB) (with,ADP) (ren,PROPN,B-PER)  (&,CCONJ,I-PER)  (angela,PROPN,E-PER)  (were,VERB) (born,VERB) (where,ADV) (?,.)",where,"musical, artists, associated, Ren & Angela, born"
241,"(musical,ADJ) (artists,NOUN) (who,PRON) (are,VERB) (associated,VERB) (with,ADP) (ren,PROPN,B-PER)  (&,CCONJ,I-PER)  (angela,PROPN,E-PER)  (were,VERB) (born,VERB) (where,ADV) (?,.)",Where,"musical artists, associated, ren & Angela, born"
242,"(when,ADV) (did,VERB) (bobby,NOUN) (brown,NOUN) (and,CCONJ) (whitney,NOUN) (houston,NOUN) (get,VERB) (married,VERB) (?,.)",When,"Bobby Brown, Whitney Houston, married"
243,"(when,ADV) (did,VERB) (bobby,NOUN) (brown,NOUN) (and,CCONJ) (whitney,NOUN) (houston,NOUN) (get,VERB) (married,VERB) (?,.)",when,"Bobby Brown, Whitney Houston, married"
244,"(on,ADP) (which,PRON) (singles,NOUN) (did,VERB) (robbie,NOUN) (williams,NOUN) (collaborate,VERB) (with,ADP) (nicole,PROPN) (kidman,NOUN) (?,.)",WHICH,"ROBBLE WILLIAMS, COLLABORATE, NICOLE KIDMAN"
245,"(on,ADP) (which,PRON) (singles,NOUN) (did,VERB) (robbie,NOUN) (williams,NOUN) (collaborate,VERB) (with,ADP) (nicole,PROPN) (kidman,NOUN) (?,.)",on which,"robbie williams, collaborate, nicole kidman"
246,"(does,VERB) (richard,PROPN,B-PER)  (marx,PROPN,E-PER)  (play,VERB) (guitar,NOUN) (?,.)",Does,"Richard Marx, guitar, play"
247,"(does,VERB) (richard,PROPN,B-PER)  (marx,PROPN,E-PER)  (play,VERB) (guitar,NOUN) (?,.)",Does,"Richard Marx, play, guitar"
